financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
1997-98,VIC,All other medications,Government,3
1997-98,VIC,All other medications,Government,15
1997-98,VIC,All other medications,Non-government,620
1997-98,VIC,All other medications,Non-government,11
1997-98,VIC,All other medications,Non-government,3
1997-98,VIC,Benefit-paid pharmaceuticals,Government,698
1997-98,VIC,Benefit-paid pharmaceuticals,Non-government,149
1997-98,VIC,Capital expenditure,Government,14
1997-98,VIC,Capital expenditure,Government,318
1997-98,VIC,Capital expenditure,Non-government,178
1997-98,VIC,Community health,Government,174
1997-98,VIC,Community health,Government,318
1997-98,VIC,Community health,Non-government,0
1997-98,VIC,Dental services,Government,27
1997-98,VIC,Dental services,Government,66
1997-98,VIC,Dental services,Non-government,1005
1997-98,VIC,Dental services,Non-government,3
1997-98,VIC,Dental services,Non-government,146
1997-98,VIC,Medical expense tax rebate,Government,56
1997-98,VIC,Medical expense tax rebate,Non-government,-56
1997-98,VIC,Medical services,Government,2860
1997-98,VIC,Medical services,Non-government,365
1997-98,VIC,Medical services,Non-government,123
1997-98,VIC,Medical services,Non-government,96
1997-98,VIC,Other health practitioners,Government,90
1997-98,VIC,Other health practitioners,Non-government,566
1997-98,VIC,Other health practitioners,Non-government,67
1997-98,VIC,Other health practitioners,Non-government,63
1997-98,VIC,Patient transport services,Government,9
1997-98,VIC,Patient transport services,Government,102
1997-98,VIC,Patient transport services,Non-government,65
1997-98,VIC,Patient transport services,Non-government,12
1997-98,VIC,Patient transport services,Non-government,10
1997-98,VIC,Private hospitals,Government,201
1997-98,VIC,Private hospitals,Non-government,150
1997-98,VIC,Private hospitals,Non-government,228
1997-98,VIC,Private hospitals,Non-government,922
1997-98,VIC,Public health,Government,89
1997-98,VIC,Public health,Government,265
1997-98,VIC,Public hospitals,Government,1983
1997-98,VIC,Public hospitals,Government,2202
1997-98,VIC,Public hospitals,Non-government,84
1997-98,VIC,Public hospitals,Non-government,275
1997-98,VIC,Public hospitals,Non-government,92
1997-98,VIC,Research,Government,209
1997-98,VIC,Research,Government,57
1997-98,VIC,Research,Non-government,76
1997-98,QLD,Administration,Government,157
1997-98,QLD,Administration,Government,26
1997-98,QLD,Administration,Non-government,125
1997-98,QLD,Aids and appliances,Government,34
1997-98,QLD,Aids and appliances,Non-government,230
1997-98,QLD,Aids and appliances,Non-government,1
1997-98,QLD,Aids and appliances,Non-government,28
1997-98,QLD,All other medications,Government,2
1997-98,QLD,All other medications,Non-government,490
1997-98,QLD,All other medications,Non-government,1
1997-98,QLD,All other medications,Non-government,6
1997-98,QLD,Benefit-paid pharmaceuticals,Government,506
1997-98,QLD,Benefit-paid pharmaceuticals,Non-government,109
1997-98,QLD,Capital expenditure,Government,10
1997-98,QLD,Capital expenditure,Government,610
1997-98,QLD,Capital expenditure,Non-government,223
1997-98,QLD,Community health,Government,148
1997-98,QLD,Community health,Government,757
1997-98,QLD,Community health,Non-government,0
1997-98,QLD,Dental services,Government,29
1997-98,QLD,Dental services,Government,157
1997-98,QLD,Dental services,Non-government,246
1997-98,QLD,Dental services,Non-government,2
1997-98,QLD,Dental services,Non-government,133
1997-98,QLD,Medical expense tax rebate,Government,34
1997-98,QLD,Medical expense tax rebate,Non-government,-34
1997-98,QLD,Medical services,Government,2107
1997-98,QLD,Medical services,Non-government,338
1997-98,QLD,Medical services,Non-government,53
1997-98,QLD,Medical services,Non-government,67
1997-98,QLD,Other health practitioners,Government,69
1997-98,QLD,Other health practitioners,Non-government,259
1997-98,QLD,Other health practitioners,Non-government,24
1997-98,QLD,Other health practitioners,Non-government,53
1997-98,QLD,Patient transport services,Government,38
1997-98,QLD,Patient transport services,Government,104
1997-98,QLD,Patient transport services,Non-government,109
1997-98,QLD,Patient transport services,Non-government,4
1997-98,QLD,Patient transport services,Non-government,14
1997-98,QLD,Private hospitals,Government,292
1997-98,QLD,Private hospitals,Non-government,7
1997-98,QLD,Private hospitals,Non-government,188
1997-98,QLD,Private hospitals,Non-government,689
1997-98,QLD,Public health,Government,68
1997-98,QLD,Public health,Government,87
1997-98,QLD,Public hospitals,Government,1610
1997-98,QLD,Public hospitals,Government,1749
1997-98,QLD,Public hospitals,Non-government,20
1997-98,QLD,Public hospitals,Non-government,75
1997-98,QLD,Public hospitals,Non-government,53
1997-98,QLD,Research,Government,97
1997-98,QLD,Research,Government,20
1997-98,QLD,Research,Non-government,27
1997-98,WA,Administration,Government,79
1997-98,WA,Administration,Government,308
1997-98,WA,Administration,Non-government,74
1997-98,WA,Aids and appliances,Government,18
1997-98,WA,Aids and appliances,Non-government,90
1997-98,WA,Aids and appliances,Non-government,4
1997-98,WA,Aids and appliances,Non-government,18
1997-98,WA,All other medications,Government,1
1997-98,WA,All other medications,Non-government,224
1997-98,WA,All other medications,Non-government,5
1997-98,WA,All other medications,Non-government,3
1997-98,WA,Benefit-paid pharmaceuticals,Government,231
1997-98,WA,Benefit-paid pharmaceuticals,Non-government,53
1997-98,WA,Capital expenditure,Government,5
1997-98,WA,Capital expenditure,Government,85
1997-98,WA,Capital expenditure,Non-government,249
1997-98,WA,Community health,Government,111
1997-98,WA,Community health,Government,209
1997-98,WA,Community health,Non-government,0
1997-98,WA,Dental services,Government,19
1997-98,WA,Dental services,Government,53
1997-98,WA,Dental services,Non-government,75
1997-98,WA,Dental services,Non-government,2
1997-98,WA,Dental services,Non-government,136
1997-98,WA,Medical expense tax rebate,Government,15
1997-98,WA,Medical expense tax rebate,Non-government,-15
1997-98,WA,Medical services,Government,1058
1997-98,WA,Medical services,Non-government,109
1997-98,WA,Medical services,Non-government,89
1997-98,WA,Medical services,Non-government,31
1997-98,WA,Other health practitioners,Government,33
1997-98,WA,Other health practitioners,Non-government,64
1997-98,WA,Other health practitioners,Non-government,38
1997-98,WA,Other health practitioners,Non-government,46
1997-98,WA,Patient transport services,Government,31
1997-98,WA,Patient transport services,Government,28
1997-98,WA,Patient transport services,Non-government,2
1997-98,WA,Patient transport services,Non-government,4
1997-98,WA,Patient transport services,Non-government,18
1997-98,WA,Private hospitals,Government,101
1997-98,WA,Private hospitals,Non-government,26
1997-98,WA,Private hospitals,Non-government,93
1997-98,WA,Private hospitals,Non-government,316
1997-98,WA,Public health,Government,36
1997-98,WA,Public health,Government,87
1997-98,WA,Public hospitals,Government,888
1997-98,WA,Public hospitals,Government,1058
1997-98,WA,Public hospitals,Non-government,19
1997-98,WA,Public hospitals,Non-government,81
1997-98,WA,Public hospitals,Non-government,41
1997-98,WA,Research,Government,64
1997-98,WA,Research,Government,10
1997-98,WA,Research,Non-government,14
1997-98,SA,Administration,Government,75
1997-98,SA,Administration,Government,117
1997-98,SA,Administration,Non-government,90
1997-98,SA,Aids and appliances,Government,18
1997-98,SA,Aids and appliances,Non-government,38
1997-98,SA,Aids and appliances,Non-government,3
1997-98,SA,Aids and appliances,Non-government,19
1997-98,SA,All other medications,Government,2
1997-98,SA,All other medications,Non-government,137
1997-98,SA,All other medications,Non-government,2
1997-98,SA,All other medications,Non-government,3
1997-98,SA,Benefit-paid pharmaceuticals,Government,238
1997-98,SA,Benefit-paid pharmaceuticals,Non-government,50
1997-98,SA,Capital expenditure,Government,6
1997-98,SA,Capital expenditure,Government,154
1997-98,SA,Capital expenditure,Non-government,87
1997-98,SA,Community health,Government,83
1997-98,SA,Community health,Government,22
1997-98,SA,Community health,Non-government,0
1997-98,SA,Dental services,Government,14
1997-98,SA,Dental services,Government,45
1997-98,SA,Dental services,Non-government,125
1997-98,SA,Dental services,Non-government,1
1997-98,SA,Dental services,Non-government,86
1997-98,SA,Medical expense tax rebate,Government,12
1997-98,SA,Medical expense tax rebate,Non-government,-12
1997-98,SA,Medical services,Government,848
1997-98,SA,Medical services,Non-government,76
1997-98,SA,Medical services,Non-government,105
1997-98,SA,Medical services,Non-government,33
1997-98,SA,Other health practitioners,Government,28
1997-98,SA,Other health practitioners,Non-government,33
1997-98,SA,Other health practitioners,Non-government,26
1997-98,SA,Other health practitioners,Non-government,40
1997-98,SA,Patient transport services,Government,19
1997-98,SA,Patient transport services,Government,29
1997-98,SA,Patient transport services,Non-government,36
1997-98,SA,Patient transport services,Non-government,8
1997-98,SA,Patient transport services,Non-government,5
1997-98,SA,Private hospitals,Government,44
1997-98,SA,Private hospitals,Non-government,13
1997-98,SA,Private hospitals,Non-government,41
1997-98,SA,Private hospitals,Non-government,308
1997-98,SA,Public health,Government,32
1997-98,SA,Public health,Government,39
1997-98,SA,Public hospitals,Government,950
1997-98,SA,Public hospitals,Government,683
1997-98,SA,Public hospitals,Non-government,8
1997-98,SA,Public hospitals,Non-government,29
1997-98,SA,Public hospitals,Non-government,31
1997-98,SA,Research,Government,75
1997-98,SA,Research,Government,14
1997-98,SA,Research,Non-government,20
1997-98,TAS,Administration,Government,21
1997-98,TAS,Administration,Government,7
1997-98,TAS,Administration,Non-government,22
1997-98,TAS,Aids and appliances,Government,5
1997-98,TAS,Aids and appliances,Non-government,28
1997-98,TAS,Aids and appliances,Non-government,1
1997-98,TAS,Aids and appliances,Non-government,6
1997-98,TAS,All other medications,Government,1
1997-98,TAS,All other medications,Non-government,64
1997-98,TAS,All other medications,Non-government,1
1997-98,TAS,All other medications,Non-government,1
1997-98,TAS,Benefit-paid pharmaceuticals,Government,81
1997-98,TAS,Benefit-paid pharmaceuticals,Non-government,16
1997-98,TAS,Capital expenditure,Government,2
1997-98,TAS,Capital expenditure,Government,15
1997-98,TAS,Capital expenditure,Non-government,29
1997-98,TAS,Community health,Government,23
1997-98,TAS,Community health,Government,194
1997-98,TAS,Community health,Non-government,0
1997-98,TAS,Dental services,Government,4
1997-98,TAS,Dental services,Government,38
1997-98,TAS,Dental services,Non-government,32
1997-98,TAS,Dental services,Non-government,0
1997-98,TAS,Dental services,Non-government,20
1997-98,TAS,Medical expense tax rebate,Government,3
1997-98,TAS,Medical expense tax rebate,Non-government,-3
1997-98,TAS,Medical services,Government,263
1997-98,TAS,Medical services,Non-government,35
1997-98,TAS,Medical services,Non-government,23
1997-98,TAS,Medical services,Non-government,9
1997-98,TAS,Other health practitioners,Government,11
1997-98,TAS,Other health practitioners,Non-government,21
1997-98,TAS,Other health practitioners,Non-government,13
1997-98,TAS,Other health practitioners,Non-government,7
1997-98,TAS,Patient transport services,Government,2
1997-98,TAS,Patient transport services,Government,18
1997-98,TAS,Patient transport services,Non-government,0
1997-98,TAS,Patient transport services,Non-government,1
1997-98,TAS,Patient transport services,Non-government,0
1997-98,TAS,Private hospitals,Government,25
1997-98,TAS,Private hospitals,Non-government,39
1997-98,TAS,Private hospitals,Non-government,16
1997-98,TAS,Private hospitals,Non-government,100
1997-98,TAS,Public health,Government,13
1997-98,TAS,Public health,Government,12
1997-98,TAS,Public hospitals,Government,255
1997-98,TAS,Public hospitals,Government,137
1997-98,TAS,Public hospitals,Non-government,0
1997-98,TAS,Public hospitals,Non-government,38
1997-98,TAS,Public hospitals,Non-government,9
1997-98,TAS,Research,Government,9
1997-98,TAS,Research,Government,1
1997-98,TAS,Research,Non-government,2
1997-98,ACT,Administration,Government,43
1997-98,ACT,Administration,Government,37
1997-98,ACT,Aids and appliances,Government,3
1997-98,ACT,Aids and appliances,Non-government,13
1997-98,ACT,Aids and appliances,Non-government,1
1997-98,ACT,All other medications,Government,8
1997-98,ACT,All other medications,Non-government,28
1997-98,ACT,All other medications,Non-government,1
1997-98,ACT,Benefit-paid pharmaceuticals,Government,35
1997-98,ACT,Benefit-paid pharmaceuticals,Non-government,10
1997-98,ACT,Capital expenditure,Government,7
1997-98,ACT,Capital expenditure,Government,14
1997-98,ACT,Capital expenditure,Non-government,11
1997-98,ACT,Community health,Government,7
1997-98,ACT,Community health,Government,13
1997-98,ACT,Dental services,Government,1
1997-98,ACT,Dental services,Government,7
1997-98,ACT,Dental services,Non-government,62
1997-98,ACT,Dental services,Non-government,0
1997-98,ACT,Medical expense tax rebate,Government,6
1997-98,ACT,Medical expense tax rebate,Non-government,-6
1997-98,ACT,Medical services,Government,172
1997-98,ACT,Medical services,Non-government,58
1997-98,ACT,Medical services,Non-government,22
1997-98,ACT,Other health practitioners,Government,4
1997-98,ACT,Other health practitioners,Non-government,29
1997-98,ACT,Other health practitioners,Non-government,11
1997-98,ACT,Patient transport services,Government,0
1997-98,ACT,Patient transport services,Government,7
1997-98,ACT,Patient transport services,Non-government,0
1997-98,ACT,Patient transport services,Non-government,1
1997-98,ACT,Private hospitals,Government,7
1997-98,ACT,Private hospitals,Non-government,26
1997-98,ACT,Private hospitals,Non-government,15
1997-98,ACT,Private hospitals,Non-government,42
1997-98,ACT,Public health,Government,9
1997-98,ACT,Public health,Government,5
1997-98,ACT,Public hospitals,Government,147
1997-98,ACT,Public hospitals,Government,220
1997-98,ACT,Public hospitals,Non-government,0
1997-98,ACT,Public hospitals,Non-government,21
1997-98,ACT,Public hospitals,Non-government,13
1997-98,ACT,Research,Government,50
1997-98,ACT,Research,Government,5
1997-98,ACT,Research,Non-government,8
1997-98,NT,Administration,Government,10
1997-98,NT,Administration,Government,20
1997-98,NT,Administration,Non-government,4
1997-98,NT,Aids and appliances,Government,2
1997-98,NT,Aids and appliances,Non-government,5
1997-98,NT,Aids and appliances,Non-government,2
1997-98,NT,Aids and appliances,Non-government,1
1997-98,NT,All other medications,Government,0
1997-98,NT,All other medications,Government,2
1997-98,NT,All other medications,Non-government,11
1997-98,NT,All other medications,Non-government,0
1997-98,NT,All other medications,Non-government,0
1997-98,NT,Benefit-paid pharmaceuticals,Government,10
1997-98,NT,Benefit-paid pharmaceuticals,Non-government,3
1997-98,NT,Capital expenditure,Government,1
1997-98,NT,Capital expenditure,Government,6
1997-98,NT,Capital expenditure,Non-government,2
1997-98,NT,Community health,Government,49
1997-98,NT,Community health,Government,186
1997-98,NT,Community health,Non-government,0
1997-98,NT,Dental services,Government,0
1997-98,NT,Dental services,Government,9
1997-98,NT,Dental services,Non-government,9
1997-98,NT,Dental services,Non-government,0
1997-98,NT,Dental services,Non-government,3
1997-98,NT,Medical expense tax rebate,Government,1
1997-98,NT,Medical expense tax rebate,Non-government,-1
1997-98,NT,Medical services,Government,62
1997-98,NT,Medical services,Non-government,12
1997-98,NT,Medical services,Non-government,10
1997-98,NT,Medical services,Non-government,2
1997-98,NT,Other health practitioners,Government,2
1997-98,NT,Other health practitioners,Non-government,11
1997-98,NT,Other health practitioners,Non-government,3
1997-98,NT,Other health practitioners,Non-government,1
1997-98,NT,Patient transport services,Government,4
1997-98,NT,Patient transport services,Government,0
1997-98,NT,Patient transport services,Non-government,1
1997-98,NT,Patient transport services,Non-government,1
1997-98,NT,Patient transport services,Non-government,0
1997-98,NT,Private hospitals,Government,2
1997-98,NT,Private hospitals,Non-government,1
1997-98,NT,Private hospitals,Non-government,5
1997-98,NT,Private hospitals,Non-government,16
1997-98,NT,Public health,Government,10
1997-98,NT,Public health,Government,45
1997-98,NT,Public hospitals,Government,134
1997-98,NT,Public hospitals,Government,89
1997-98,NT,Public hospitals,Non-government,0
1997-98,NT,Public hospitals,Non-government,23
1997-98,NT,Public hospitals,Non-government,1
1997-98,NT,Research,Government,5
1997-98,NT,Research,Government,3
1997-98,NT,Research,Non-government,4
1998-99,NSW,Administration,Government,306
1998-99,NSW,Administration,Government,0
1998-99,NSW,Administration,Non-government,279
1998-99,NSW,Aids and appliances,Government,67
1998-99,NSW,Aids and appliances,Non-government,339
1998-99,NSW,Aids and appliances,Non-government,33
1998-99,NSW,Aids and appliances,Non-government,69
1998-99,NSW,All other medications,Government,8
1998-99,NSW,All other medications,Non-government,734
1998-99,NSW,All other medications,Non-government,26
1998-99,NSW,All other medications,Non-government,15
1998-99,NSW,Benefit-paid pharmaceuticals,Government,1155
1998-99,NSW,Benefit-paid pharmaceuticals,Non-government,231
1998-99,NSW,Capital expenditure,Government,31
1998-99,NSW,Capital expenditure,Government,255
1998-99,NSW,Capital expenditure,Non-government,554
1998-99,NSW,Community health,Government,187
1998-99,NSW,Community health,Government,1274
1998-99,NSW,Community health,Non-government,47
1998-99,NSW,Community health,Non-government,60
1998-99,NSW,Community health,Non-government,0
1998-99,NSW,Dental services,Government,115
1998-99,NSW,Dental services,Government,123
1998-99,NSW,Dental services,Non-government,945
1998-99,NSW,Dental services,Non-government,12
1998-99,NSW,Dental services,Non-government,318
1998-99,NSW,Medical expense tax rebate,Government,92
1998-99,NSW,Medical expense tax rebate,Non-government,-92
1998-99,NSW,Medical services,Government,4361
1998-99,NSW,Medical services,Non-government,543
1998-99,NSW,Medical services,Non-government,370
1998-99,NSW,Medical services,Non-government,101
1998-99,NSW,Other health practitioners,Government,151
1998-99,NSW,Other health practitioners,Non-government,471
1998-99,NSW,Other health practitioners,Non-government,147
1998-99,NSW,Other health practitioners,Non-government,109
1998-99,NSW,Patient transport services,Government,38
1998-99,NSW,Patient transport services,Government,117
1998-99,NSW,Patient transport services,Non-government,17
1998-99,NSW,Patient transport services,Non-government,37
1998-99,NSW,Patient transport services,Non-government,66
1998-99,NSW,Private hospitals,Government,444
1998-99,NSW,Private hospitals,Non-government,33
1998-99,NSW,Private hospitals,Non-government,310
1998-99,NSW,Private hospitals,Non-government,833
1998-99,NSW,Public health,Government,165
1998-99,NSW,Public health,Government,78
1998-99,NSW,Public health,Non-government,2
1998-99,NSW,Public health,Non-government,69
1998-99,NSW,Public hospitals,Government,3410
1998-99,NSW,Public hospitals,Government,4204
1998-99,NSW,Public hospitals,Non-government,227
1998-99,NSW,Public hospitals,Non-government,321
1998-99,NSW,Public hospitals,Non-government,175
1998-99,NSW,Research,Government,208
1998-99,NSW,Research,Government,57
1998-99,NSW,Research,Non-government,54
1998-99,VIC,Administration,Government,195
1998-99,VIC,Administration,Non-government,172
1998-99,VIC,Aids and appliances,Government,43
1998-99,VIC,Aids and appliances,Non-government,363
1998-99,VIC,Aids and appliances,Non-government,16
1998-99,VIC,Aids and appliances,Non-government,25
1998-99,VIC,All other medications,Government,5
1998-99,VIC,All other medications,Non-government,678
1998-99,VIC,All other medications,Non-government,15
1998-99,VIC,All other medications,Non-government,3
1998-99,VIC,Benefit-paid pharmaceuticals,Government,781
1998-99,VIC,Benefit-paid pharmaceuticals,Non-government,158
1998-99,VIC,Capital expenditure,Government,24
1998-99,VIC,Capital expenditure,Government,259
1998-99,VIC,Capital expenditure,Non-government,402
1998-99,VIC,Community health,Government,116
1998-99,VIC,Community health,Government,387
1998-99,VIC,Community health,Non-government,19
1998-99,VIC,Community health,Non-government,0
1998-99,VIC,Dental services,Government,52
1998-99,VIC,Dental services,Government,82
1998-99,VIC,Dental services,Non-government,974
1998-99,VIC,Dental services,Non-government,1
1998-99,VIC,Dental services,Non-government,127
1998-99,VIC,Medical expense tax rebate,Government,60
1998-99,VIC,Medical expense tax rebate,Non-government,-60
1998-99,VIC,Medical services,Government,3009
1998-99,VIC,Medical services,Non-government,383
1998-99,VIC,Medical services,Non-government,133
1998-99,VIC,Medical services,Non-government,92
1998-99,VIC,Other health practitioners,Government,104
1998-99,VIC,Other health practitioners,Non-government,577
1998-99,VIC,Other health practitioners,Non-government,112
1998-99,VIC,Other health practitioners,Non-government,58
1998-99,VIC,Patient transport services,Government,11
1998-99,VIC,Patient transport services,Government,109
1998-99,VIC,Patient transport services,Non-government,71
1998-99,VIC,Patient transport services,Non-government,15
1998-99,VIC,Patient transport services,Non-government,2
1998-99,VIC,Private hospitals,Government,340
1998-99,VIC,Private hospitals,Non-government,228
1998-99,VIC,Private hospitals,Non-government,228
1998-99,VIC,Private hospitals,Non-government,809
1998-99,VIC,Public health,Government,108
1998-99,VIC,Public health,Government,120
1998-99,VIC,Public hospitals,Government,2342
1998-99,VIC,Public hospitals,Government,2046
1998-99,VIC,Public hospitals,Non-government,169
1998-99,VIC,Public hospitals,Non-government,242
1998-99,VIC,Public hospitals,Non-government,65
1998-99,VIC,Research,Government,245
1998-99,VIC,Research,Government,27
1998-99,VIC,Research,Non-government,74
1998-99,QLD,Administration,Government,152
1998-99,QLD,Administration,Government,54
1998-99,QLD,Administration,Non-government,125
1998-99,QLD,Aids and appliances,Government,33
1998-99,QLD,Aids and appliances,Non-government,282
1998-99,QLD,Aids and appliances,Non-government,2
1998-99,QLD,Aids and appliances,Non-government,26
1998-99,QLD,All other medications,Government,4
1998-99,QLD,All other medications,Non-government,508
1998-99,QLD,All other medications,Non-government,2
1998-99,QLD,All other medications,Non-government,5
1998-99,QLD,Benefit-paid pharmaceuticals,Government,576
1998-99,QLD,Benefit-paid pharmaceuticals,Non-government,115
1998-99,QLD,Capital expenditure,Government,23
1998-99,QLD,Capital expenditure,Government,253
1998-99,QLD,Capital expenditure,Non-government,519
1998-99,QLD,Community health,Government,118
1998-99,QLD,Community health,Government,634
1998-99,QLD,Community health,Non-government,0
1998-99,QLD,Dental services,Government,52
1998-99,QLD,Dental services,Government,150
1998-99,QLD,Dental services,Non-government,311
1998-99,QLD,Dental services,Non-government,2
1998-99,QLD,Dental services,Non-government,120
1998-99,QLD,Medical expense tax rebate,Government,38
1998-99,QLD,Medical expense tax rebate,Non-government,-38
1998-99,QLD,Medical services,Government,2209
1998-99,QLD,Medical services,Non-government,358
1998-99,QLD,Medical services,Non-government,43
1998-99,QLD,Medical services,Non-government,62
1998-99,QLD,Other health practitioners,Government,93
1998-99,QLD,Other health practitioners,Non-government,286
1998-99,QLD,Other health practitioners,Non-government,21
1998-99,QLD,Other health practitioners,Non-government,50
1998-99,QLD,Patient transport services,Government,19
1998-99,QLD,Patient transport services,Government,196
1998-99,QLD,Patient transport services,Non-government,81
1998-99,QLD,Patient transport services,Non-government,8
1998-99,QLD,Patient transport services,Non-government,4
1998-99,QLD,Private hospitals,Government,402
1998-99,QLD,Private hospitals,Non-government,69
1998-99,QLD,Private hospitals,Non-government,130
1998-99,QLD,Private hospitals,Non-government,610
1998-99,QLD,Public health,Government,95
1998-99,QLD,Public health,Government,98
1998-99,QLD,Public health,Non-government,31
1998-99,QLD,Public hospitals,Government,1758
1998-99,QLD,Public hospitals,Government,1755
1998-99,QLD,Public hospitals,Non-government,16
1998-99,QLD,Public hospitals,Non-government,61
1998-99,QLD,Public hospitals,Non-government,39
1998-99,QLD,Research,Government,115
1998-99,QLD,Research,Government,28
1998-99,QLD,Research,Non-government,26
1998-99,WA,Administration,Government,89
1998-99,WA,Administration,Government,19
1998-99,WA,Administration,Non-government,47
1998-99,WA,Administration,Non-government,72
1998-99,WA,Aids and appliances,Government,20
1998-99,WA,Aids and appliances,Non-government,114
1998-99,WA,Aids and appliances,Non-government,6
1998-99,WA,Aids and appliances,Non-government,23
1998-99,WA,All other medications,Government,3
1998-99,WA,All other medications,Non-government,225
1998-99,WA,All other medications,Non-government,6
1998-99,WA,All other medications,Non-government,3
1998-99,WA,Benefit-paid pharmaceuticals,Government,258
1998-99,WA,Benefit-paid pharmaceuticals,Non-government,57
1998-99,WA,Capital expenditure,Government,13
1998-99,WA,Capital expenditure,Government,160
1998-99,WA,Capital expenditure,Non-government,325
1998-99,WA,Community health,Government,88
1998-99,WA,Community health,Government,235
1998-99,WA,Community health,Non-government,11
1998-99,WA,Community health,Non-government,0
1998-99,WA,Dental services,Government,39
1998-99,WA,Dental services,Government,61
1998-99,WA,Dental services,Non-government,233
1998-99,WA,Dental services,Non-government,1
1998-99,WA,Dental services,Non-government,124
1998-99,WA,Medical expense tax rebate,Government,17
1998-99,WA,Medical expense tax rebate,Non-government,-17
1998-99,WA,Medical services,Government,1078
1998-99,WA,Medical services,Non-government,117
1998-99,WA,Medical services,Non-government,74
1998-99,WA,Medical services,Non-government,28
1998-99,WA,Other health practitioners,Government,41
1998-99,WA,Other health practitioners,Non-government,25
1998-99,WA,Other health practitioners,Non-government,43
1998-99,WA,Other health practitioners,Non-government,42
1998-99,WA,Patient transport services,Government,17
1998-99,WA,Patient transport services,Government,37
1998-99,WA,Patient transport services,Non-government,2
1998-99,WA,Patient transport services,Non-government,4
1998-99,WA,Patient transport services,Non-government,13
1998-99,WA,Private hospitals,Government,155
1998-99,WA,Private hospitals,Non-government,123
1998-99,WA,Private hospitals,Non-government,70
1998-99,WA,Private hospitals,Non-government,295
1998-99,WA,Public health,Government,57
1998-99,WA,Public health,Government,59
1998-99,WA,Public hospitals,Government,949
1998-99,WA,Public hospitals,Government,1059
1998-99,WA,Public hospitals,Non-government,19
1998-99,WA,Public hospitals,Non-government,59
1998-99,WA,Public hospitals,Non-government,32
1998-99,WA,Research,Government,64
1998-99,WA,Research,Government,14
1998-99,WA,Research,Non-government,13
1998-99,SA,Administration,Government,77
1998-99,SA,Administration,Government,110
1998-99,SA,Administration,Non-government,81
1998-99,SA,Aids and appliances,Government,16
1998-99,SA,Aids and appliances,Non-government,63
1998-99,SA,Aids and appliances,Non-government,2
1998-99,SA,Aids and appliances,Non-government,18
1998-99,SA,All other medications,Government,3
1998-99,SA,All other medications,Non-government,143
1998-99,SA,All other medications,Non-government,2
1998-99,SA,All other medications,Non-government,2
1998-99,SA,Benefit-paid pharmaceuticals,Government,263
1998-99,SA,Benefit-paid pharmaceuticals,Non-government,52
1998-99,SA,Capital expenditure,Government,8
