financial_year,state,area_of_expenditure,broad_source_of_funding,real_expenditure_millions
1997,TAS,Aids and appliances,Other,6
1997,TAS,All other medications,Government,1
1997,TAS,All other medications,Other,64
1997,TAS,All other medications,Other,1
1997,TAS,All other medications,Other,1
1997,TAS,Benefit,Government,81
1997,TAS,Benefit,Other,16
1997,TAS,Capital expenditure,Government,2
1997,TAS,Capital expenditure,Government,15
1997,TAS,Capital expenditure,Other,29
1997,TAS,Community health,Government,23
1997,TAS,Community health,Government,194
1997,TAS,Community health,Other,0
1997,TAS,Dental services,Government,4
1997,TAS,Dental services,Government,38
1997,TAS,Dental services,Other,32
1997,TAS,Dental services,Other,0
1997,TAS,Dental services,Other,20
1997,TAS,Medical expense tax rebate,Government,3
1997,TAS,Medical expense tax rebate,Other,
1997,TAS,Medical services,Government,263
1997,TAS,Medical services,Other,35
1997,TAS,Medical services,Other,23
1997,TAS,Medical services,Other,9
1997,TAS,Other health practitioners,Government,11
1997,TAS,Other health practitioners,Other,21
1997,TAS,Other health practitioners,Other,13
1997,TAS,Other health practitioners,Other,7
1997,TAS,Patient transport services,Government,2
1997,TAS,Patient transport services,Government,18
1997,TAS,Patient transport services,Other,0
1997,TAS,Patient transport services,Other,1
1997,TAS,Patient transport services,Other,0
1997,TAS,Private hospitals,Government,25
1997,TAS,Private hospitals,Other,39
1997,TAS,Private hospitals,Other,16
1997,TAS,Private hospitals,Other,100
1997,TAS,Public health,Government,13
1997,TAS,Public health,Government,12
1997,TAS,Public hospitals,Government,255
1997,TAS,Public hospitals,Government,137
1997,TAS,Public hospitals,Other,0
1997,TAS,Public hospitals,Other,38
1997,TAS,Public hospitals,Other,9
1997,TAS,Research,Government,9
1997,TAS,Research,Government,1
1997,TAS,Research,Other,2
1997,ACT,Administration,Government,43
1997,ACT,Administration,Government,37
1997,ACT,Aids and appliances,Government,3
1997,ACT,Aids and appliances,Other,13
1997,ACT,Aids and appliances,Other,1
1997,ACT,All other medications,Government,8
1997,ACT,All other medications,Other,28
1997,ACT,All other medications,Other,1
1997,ACT,Benefit,Government,35
1997,ACT,Benefit,Other,10
1997,ACT,Capital expenditure,Government,7
1997,ACT,Capital expenditure,Government,14
1997,ACT,Capital expenditure,Other,11
1997,ACT,Community health,Government,7
1997,ACT,Community health,Government,13
1997,ACT,Dental services,Government,1
1997,ACT,Dental services,Government,7
1997,ACT,Dental services,Other,62
1997,ACT,Dental services,Other,0
1997,ACT,Medical expense tax rebate,Government,6
1997,ACT,Medical expense tax rebate,Other,
1997,ACT,Medical services,Government,172
1997,ACT,Medical services,Other,58
1997,ACT,Medical services,Other,22
1997,ACT,Other health practitioners,Government,4
1997,ACT,Other health practitioners,Other,29
1997,ACT,Other health practitioners,Other,11
1997,ACT,Patient transport services,Government,0
1997,ACT,Patient transport services,Government,7
1997,ACT,Patient transport services,Other,0
1997,ACT,Patient transport services,Other,1
1997,ACT,Private hospitals,Government,7
1997,ACT,Private hospitals,Other,26
1997,ACT,Private hospitals,Other,15
1997,ACT,Private hospitals,Other,42
1997,ACT,Public health,Government,9
1997,ACT,Public health,Government,5
1997,ACT,Public hospitals,Government,147
1997,ACT,Public hospitals,Government,220
1997,ACT,Public hospitals,Other,0
1997,ACT,Public hospitals,Other,21
1997,ACT,Public hospitals,Other,13
1997,ACT,Research,Government,50
1997,ACT,Research,Government,5
1997,ACT,Research,Other,8
1997,NT,Administration,Government,10
1997,NT,Administration,Government,20
1997,NT,Administration,Other,4
1997,NT,Aids and appliances,Government,2
1997,NT,Aids and appliances,Other,5
1997,NT,Aids and appliances,Other,2
1997,NT,Aids and appliances,Other,1
1997,NT,All other medications,Government,0
1997,NT,All other medications,Government,2
1997,NT,All other medications,Other,11
1997,NT,All other medications,Other,0
1997,NT,All other medications,Other,0
1997,NT,Benefit,Government,10
1997,NT,Benefit,Other,3
1997,NT,Capital expenditure,Government,1
1997,NT,Capital expenditure,Government,6
1997,NT,Capital expenditure,Other,2
1997,NT,Community health,Government,49
1997,NT,Community health,Government,186
1997,NT,Community health,Other,0
1997,NT,Dental services,Government,0
1997,NT,Dental services,Government,9
1997,NT,Dental services,Other,9
1997,NT,Dental services,Other,0
1997,NT,Dental services,Other,3
1997,NT,Medical expense tax rebate,Government,1
1997,NT,Medical expense tax rebate,Other,
1997,NT,Medical services,Government,62
1997,NT,Medical services,Other,12
1997,NT,Medical services,Other,10
1997,NT,Medical services,Other,2
1997,NT,Other health practitioners,Government,2
1997,NT,Other health practitioners,Other,11
1997,NT,Other health practitioners,Other,3
1997,NT,Other health practitioners,Other,1
1997,NT,Patient transport services,Government,4
1997,NT,Patient transport services,Government,0
1997,NT,Patient transport services,Other,1
1997,NT,Patient transport services,Other,1
1997,NT,Patient transport services,Other,0
1997,NT,Private hospitals,Government,2
1997,NT,Private hospitals,Other,1
1997,NT,Private hospitals,Other,5
1997,NT,Private hospitals,Other,16
1997,NT,Public health,Government,10
1997,NT,Public health,Government,45
1997,NT,Public hospitals,Government,134
1997,NT,Public hospitals,Government,89
1997,NT,Public hospitals,Other,0
1997,NT,Public hospitals,Other,23
1997,NT,Public hospitals,Other,1
1997,NT,Research,Government,5
1997,NT,Research,Government,3
1997,NT,Research,Other,4
1998,NSW,Administration,Government,306
1998,NSW,Administration,Government,0
1998,NSW,Administration,Other,279
1998,NSW,Aids and appliances,Government,67
1998,NSW,Aids and appliances,Other,339
1998,NSW,Aids and appliances,Other,33
1998,NSW,Aids and appliances,Other,69
1998,NSW,All other medications,Government,8
1998,NSW,All other medications,Other,734
1998,NSW,All other medications,Other,26
1998,NSW,All other medications,Other,15
1998,NSW,Benefit,Government,1155
1998,NSW,Benefit,Other,231
1998,NSW,Capital expenditure,Government,31
1998,NSW,Capital expenditure,Government,255
1998,NSW,Capital expenditure,Other,554
1998,NSW,Community health,Government,187
1998,NSW,Community health,Government,1274
1998,NSW,Community health,Other,47
1998,NSW,Community health,Other,60
1998,NSW,Community health,Other,0
1998,NSW,Dental services,Government,115
1998,NSW,Dental services,Government,123
1998,NSW,Dental services,Other,945
1998,NSW,Dental services,Other,12
1998,NSW,Dental services,Other,318
1998,NSW,Medical expense tax rebate,Government,92
1998,NSW,Medical expense tax rebate,Other,
1998,NSW,Medical services,Government,4361
1998,NSW,Medical services,Other,543
1998,NSW,Medical services,Other,370
1998,NSW,Medical services,Other,101
1998,NSW,Other health practitioners,Government,151
1998,NSW,Other health practitioners,Other,471
1998,NSW,Other health practitioners,Other,147
1998,NSW,Other health practitioners,Other,109
1998,NSW,Patient transport services,Government,38
1998,NSW,Patient transport services,Government,117
1998,NSW,Patient transport services,Other,17
1998,NSW,Patient transport services,Other,37
1998,NSW,Patient transport services,Other,66
1998,NSW,Private hospitals,Government,444
1998,NSW,Private hospitals,Other,33
1998,NSW,Private hospitals,Other,310
1998,NSW,Private hospitals,Other,833
1998,NSW,Public health,Government,165
1998,NSW,Public health,Government,78
1998,NSW,Public health,Other,2
1998,NSW,Public health,Other,69
1998,NSW,Public hospitals,Government,3410
1998,NSW,Public hospitals,Government,4204
1998,NSW,Public hospitals,Other,227
1998,NSW,Public hospitals,Other,321
1998,NSW,Public hospitals,Other,175
1998,NSW,Research,Government,208
1998,NSW,Research,Government,57
1998,NSW,Research,Other,54
1998,VIC,Administration,Government,195
1998,VIC,Administration,Other,172
1998,VIC,Aids and appliances,Government,43
1998,VIC,Aids and appliances,Other,363
1998,VIC,Aids and appliances,Other,16
1998,VIC,Aids and appliances,Other,25
1998,VIC,All other medications,Government,5
1998,VIC,All other medications,Other,678
1998,VIC,All other medications,Other,15
1998,VIC,All other medications,Other,3
1998,VIC,Benefit,Government,781
1998,VIC,Benefit,Other,158
1998,VIC,Capital expenditure,Government,24
1998,VIC,Capital expenditure,Government,259
1998,VIC,Capital expenditure,Other,402
1998,VIC,Community health,Government,116
1998,VIC,Community health,Government,387
1998,VIC,Community health,Other,19
1998,VIC,Community health,Other,0
1998,VIC,Dental services,Government,52
1998,VIC,Dental services,Government,82
1998,VIC,Dental services,Other,974
1998,VIC,Dental services,Other,1
1998,VIC,Dental services,Other,127
1998,VIC,Medical expense tax rebate,Government,60
1998,VIC,Medical expense tax rebate,Other,
1998,VIC,Medical services,Government,3009
1998,VIC,Medical services,Other,383
1998,VIC,Medical services,Other,133
1998,VIC,Medical services,Other,92
1998,VIC,Other health practitioners,Government,104
1998,VIC,Other health practitioners,Other,577
1998,VIC,Other health practitioners,Other,112
1998,VIC,Other health practitioners,Other,58
1998,VIC,Patient transport services,Government,11
1998,VIC,Patient transport services,Government,109
1998,VIC,Patient transport services,Other,71
1998,VIC,Patient transport services,Other,15
1998,VIC,Patient transport services,Other,2
1998,VIC,Private hospitals,Government,340
1998,VIC,Private hospitals,Other,228
1998,VIC,Private hospitals,Other,228
1998,VIC,Private hospitals,Other,809
1998,VIC,Public health,Government,108
1998,VIC,Public health,Government,120
1998,VIC,Public hospitals,Government,2342
1998,VIC,Public hospitals,Government,2046
1998,VIC,Public hospitals,Other,169
1998,VIC,Public hospitals,Other,242
1998,VIC,Public hospitals,Other,65
1998,VIC,Research,Government,245
1998,VIC,Research,Government,27
1998,VIC,Research,Other,74
1998,QLD,Administration,Government,152
1998,QLD,Administration,Government,54
1998,QLD,Administration,Other,125
1998,QLD,Aids and appliances,Government,33
1998,QLD,Aids and appliances,Other,282
1998,QLD,Aids and appliances,Other,2
1998,QLD,Aids and appliances,Other,26
1998,QLD,All other medications,Government,4
1998,QLD,All other medications,Other,508
1998,QLD,All other medications,Other,2
1998,QLD,All other medications,Other,5
1998,QLD,Benefit,Government,576
1998,QLD,Benefit,Other,115
1998,QLD,Capital expenditure,Government,23
1998,QLD,Capital expenditure,Government,253
1998,QLD,Capital expenditure,Other,519
1998,QLD,Community health,Government,118
1998,QLD,Community health,Government,634
1998,QLD,Community health,Other,0
1998,QLD,Dental services,Government,52
1998,QLD,Dental services,Government,150
1998,QLD,Dental services,Other,311
1998,QLD,Dental services,Other,2
1998,QLD,Dental services,Other,120
1998,QLD,Medical expense tax rebate,Government,38
1998,QLD,Medical expense tax rebate,Other,
1998,QLD,Medical services,Government,2209
1998,QLD,Medical services,Other,358
1998,QLD,Medical services,Other,43
1998,QLD,Medical services,Other,62
1998,QLD,Other health practitioners,Government,93
1998,QLD,Other health practitioners,Other,286
1998,QLD,Other health practitioners,Other,21
1998,QLD,Other health practitioners,Other,50
1998,QLD,Patient transport services,Government,19
1998,QLD,Patient transport services,Government,196
1998,QLD,Patient transport services,Other,81
1998,QLD,Patient transport services,Other,8
1998,QLD,Patient transport services,Other,4
1998,QLD,Private hospitals,Government,402
1998,QLD,Private hospitals,Other,69
1998,QLD,Private hospitals,Other,130
1998,QLD,Private hospitals,Other,610
1998,QLD,Public health,Government,95
1998,QLD,Public health,Government,98
1998,QLD,Public health,Other,31
1998,QLD,Public hospitals,Government,1758
1998,QLD,Public hospitals,Government,1755
1998,QLD,Public hospitals,Other,16
1998,QLD,Public hospitals,Other,61
1998,QLD,Public hospitals,Other,39
1998,QLD,Research,Government,115
1998,QLD,Research,Government,28
1998,QLD,Research,Other,26
1998,WA,Administration,Government,89
1998,WA,Administration,Government,19
1998,WA,Administration,Other,47
1998,WA,Administration,Other,72
1998,WA,Aids and appliances,Government,20
1998,WA,Aids and appliances,Other,114
1998,WA,Aids and appliances,Other,6
1998,WA,Aids and appliances,Other,23
1998,WA,All other medications,Government,3
1998,WA,All other medications,Other,225
1998,WA,All other medications,Other,6
1998,WA,All other medications,Other,3
1998,WA,Benefit,Government,258
1998,WA,Benefit,Other,57
1998,WA,Capital expenditure,Government,13
1998,WA,Capital expenditure,Government,160
1998,WA,Capital expenditure,Other,325
1998,WA,Community health,Government,88
1998,WA,Community health,Government,235
1998,WA,Community health,Other,11
1998,WA,Community health,Other,0
1998,WA,Dental services,Government,39
1998,WA,Dental services,Government,61
1998,WA,Dental services,Other,233
1998,WA,Dental services,Other,1
1998,WA,Dental services,Other,124
1998,WA,Medical expense tax rebate,Government,17
1998,WA,Medical expense tax rebate,Other,
1998,WA,Medical services,Government,1078
1998,WA,Medical services,Other,117
1998,WA,Medical services,Other,74
1998,WA,Medical services,Other,28
1998,WA,Other health practitioners,Government,41
1998,WA,Other health practitioners,Other,25
1998,WA,Other health practitioners,Other,43
1998,WA,Other health practitioners,Other,42
1998,WA,Patient transport services,Government,17
1998,WA,Patient transport services,Government,37
1998,WA,Patient transport services,Other,2
1998,WA,Patient transport services,Other,4
1998,WA,Patient transport services,Other,13
1998,WA,Private hospitals,Government,155
1998,WA,Private hospitals,Other,123
1998,WA,Private hospitals,Other,70
1998,WA,Private hospitals,Other,295
1998,WA,Public health,Government,57
1998,WA,Public health,Government,59
1998,WA,Public hospitals,Government,949
1998,WA,Public hospitals,Government,1059
1998,WA,Public hospitals,Other,19
1998,WA,Public hospitals,Other,59
1998,WA,Public hospitals,Other,32
1998,WA,Research,Government,64
1998,WA,Research,Government,14
1998,WA,Research,Other,13
1998,SA,Administration,Government,77
1998,SA,Administration,Government,110
1998,SA,Administration,Other,81
1998,SA,Aids and appliances,Government,16
1998,SA,Aids and appliances,Other,63
1998,SA,Aids and appliances,Other,2
1998,SA,Aids and appliances,Other,18
1998,SA,All other medications,Government,3
1998,SA,All other medications,Other,143
1998,SA,All other medications,Other,2
1998,SA,All other medications,Other,2
1998,SA,Benefit,Government,263
1998,SA,Benefit,Other,52
1998,SA,Capital expenditure,Government,8
1998,SA,Capital expenditure,Government,93
1998,SA,Capital expenditure,Other,51
1998,SA,Community health,Government,65
1998,SA,Community health,Government,286
1998,SA,Community health,Other,0
1998,SA,Dental services,Government,27
1998,SA,Dental services,Government,45
1998,SA,Dental services,Other,101
1998,SA,Dental services,Other,1
1998,SA,Dental services,Other,75
1998,SA,Medical expense tax rebate,Government,13
1998,SA,Medical expense tax rebate,Other,
1998,SA,Medical services,Government,876
1998,SA,Medical services,Other,72
1998,SA,Medical services,Other,112
1998,SA,Medical services,Other,37
1998,SA,Other health practitioners,Government,34
1998,SA,Other health practitioners,Other,5
1998,SA,Other health practitioners,Other,29
1998,SA,Other health practitioners,Other,36
1998,SA,Patient transport services,Government,7
1998,SA,Patient transport services,Government,56
1998,SA,Patient transport services,Other,39
1998,SA,Patient transport services,Other,8
1998,SA,Patient transport services,Other,2
1998,SA,Private hospitals,Government,84
1998,SA,Private hospitals,Other,22
1998,SA,Private hospitals,Other,47
1998,SA,Private hospitals,Other,267
1998,SA,Public health,Government,46
1998,SA,Public health,Government,80
1998,SA,Public health,Other,3
1998,SA,Public health,Other,0
1998,SA,Public hospitals,Government,860
1998,SA,Public hospitals,Government,864
1998,SA,Public hospitals,Other,23
1998,SA,Public hospitals,Other,29
1998,SA,Public hospitals,Other,25
1998,SA,Research,Government,95
1998,SA,Research,Government,7
1998,SA,Research,Other,8
1998,TAS,Administration,Government,24
1998,TAS,Administration,Government,4
1998,TAS,Administration,Other,21
1998,TAS,Aids and appliances,Government,5
1998,TAS,Aids and appliances,Other,40
1998,TAS,Aids and appliances,Other,2
1998,TAS,Aids and appliances,Other,5
1998,TAS,All other medications,Government,1
1998,TAS,All other medications,Other,73
1998,TAS,All other medications,Other,2
1998,TAS,All other medications,Other,1
1998,TAS,Benefit,Government,89
1998,TAS,Benefit,Other,17
1998,TAS,Capital expenditure,Government,4
1998,TAS,Capital expenditure,Government,25
1998,TAS,Capital expenditure,Other,31
1998,TAS,Community health,Government,17
1998,TAS,Community health,Government,135
1998,TAS,Community health,Other,0
1998,TAS,Dental services,Government,7
1998,TAS,Dental services,Government,16
1998,TAS,Dental services,Other,40
1998,TAS,Dental services,Other,0
1998,TAS,Dental services,Other,17
1998,TAS,Medical expense tax rebate,Government,3
1998,TAS,Medical expense tax rebate,Other,
1998,TAS,Medical services,Government,267
1998,TAS,Medical services,Other,35
1998,TAS,Medical services,Other,22
1998,TAS,Medical services,Other,8
1998,TAS,Other health practitioners,Government,12
1998,TAS,Other health practitioners,Other,20
1998,TAS,Other health practitioners,Other,16
1998,TAS,Other health practitioners,Other,7
1998,TAS,Patient transport services,Government,2
1998,TAS,Patient transport services,Government,23
1998,TAS,Patient transport services,Other,2
1998,TAS,Patient transport services,Other,1
1998,TAS,Patient transport services,Other,0
1998,TAS,Private hospitals,Government,42
1998,TAS,Private hospitals,Other,40
1998,TAS,Private hospitals,Other,21
1998,TAS,Private hospitals,Other,85
1998,TAS,Public health,Government,19
1998,TAS,Public health,Government,31
1998,TAS,Public health,Other,2
1998,TAS,Public hospitals,Government,221
1998,TAS,Public hospitals,Government,193
1998,TAS,Public hospitals,Other,1
1998,TAS,Public hospitals,Other,22
1998,TAS,Public hospitals,Other,7
1998,TAS,Research,Government,8
1998,TAS,Research,Government,2
1998,TAS,Research,Other,2
1998,ACT,Administration,Government,54
1998,ACT,Administration,Government,19
1998,ACT,Administration,Other,0
1998,ACT,Aids and appliances,Government,2
1998,ACT,Aids and appliances,Other,13
1998,ACT,Aids and appliances,Other,1
1998,ACT,Aids and appliances,Other,0
1998,ACT,All other medications,Government,1
1998,ACT,All other medications,Other,26
1998,ACT,All other medications,Other,1
1998,ACT,All other medications,Other,0
1998,ACT,Benefit,Government,36
1998,ACT,Benefit,Other,10
1998,ACT,Capital expenditure,Government,12
1998,ACT,Capital expenditure,Government,19
1998,ACT,Capital expenditure,Other,0
1998,ACT,Community health,Government,7
1998,ACT,Community health,Government,97
1998,ACT,Community health,Other,0
1998,ACT,Dental services,Government,2
1998,ACT,Dental services,Government,9
1998,ACT,Dental services,Other,66
1998,ACT,Dental services,Other,0
1998,ACT,Dental services,Other,0
1998,ACT,Medical expense tax rebate,Government,7
1998,ACT,Medical expense tax rebate,Other,
1998,ACT,Medical services,Government,178
1998,ACT,Medical services,Other,64
1998,ACT,Medical services,Other,19
1998,ACT,Medical services,Other,0
1998,ACT,Other health practitioners,Government,6
1998,ACT,Other health practitioners,Other,36
1998,ACT,Other health practitioners,Other,16
1998,ACT,Other health practitioners,Other,0
1998,ACT,Patient transport services,Government,0
1998,ACT,Patient transport services,Government,7
1998,ACT,Patient transport services,Other,0
1998,ACT,Patient transport services,Other,1
